Area Name,Postal Code,Latitude,Longitude
Khamgaon BK        ,412214,18.645159,73.92576
Khamundi          ,410504,19.239268,74.035426
Khanapur          ,410502,18.648575,73.878295
Khanapur          ,412206,18.648575,73.878295
Khanapur Haveli        ,411025,18.645159,73.92576
Khandaj          ,413116,18.081546,74.519962
Khandala          ,410301,18.759768,73.367922
Khandi          ,412106,18.925435,73.480482
Khandobachi Wadi        ,412102,18.125278,74.244081
Khangaon          ,410502,19.205849,73.806591
Khanote          ,413105,18.32086,74.820883
Kharoshi          ,412402,19.023374,73.681029
Khechare          ,412108,18.486457,73.579526
Khed Shivapur        ,412205,18.33856,73.846647
Khed Shivapur Baug      ,412205,18.339165,73.839232
Khodad          ,410504,19.073087,74.040404
Khondhwa KH        ,411048,18.513021,73.878765
Khopodi          ,412203,18.526119,74.385138
Khor          ,412203,18.40207,74.32513
Khorochi          ,413114,17.961751,74.869616
Khubi          ,412409,19.340319,73.798896
Khutbhav          ,412203,18.509465,74.320254
Kikvi          ,412205,18.20087,73.943903
Kiwale          ,410505,18.75304,73.76399
Kiwale          ,412101,18.75304,73.76399
Kodapur          ,412212,18.302814,73.630073
Kodit          ,412301,18.343853,73.981419
Kohinde BK        ,412404,18.90402,73.757583
Kolawade          ,412115,18.455754,73.558309
Kolvadi          ,412412,19.205797,74.065262
Kolvihire          ,412303,18.244218,74.264526
Kolwadi          ,412110,18.541738,74.025228
Kolwadi          ,412213,18.541738,74.025228
Kolwan          ,412108,18.580637,73.535672
Kondhanpur          ,412205,18.349037,73.793838
Kondhapuri          ,412209,18.755556,74.198611
Kondhawale          ,412108,18.513086,73.600634
Kondhwa BK        ,411048,18.645159,73.92576
Kondhwal          ,410509,18.645159,73.92576
Kondhwa Lh        ,411048,18.439556,73.89535
Koregaon Bhima        ,412216,18.648571,74.062324
Koregaon Bhivar        ,412207,18.623364,74.284944
Koregaon Mul        ,412202,18.523686,74.117347
Korhale BK        ,412103,18.10484,74.417388
Korhale KH        ,412103,18.092254,74.372458
Kothale          ,412303,18.318817,74.158494
